date,hr,ep,te,dp,rh,cc,ws,pr,pi,pp,Y
2020-10-08,8,1602140400,15.21,13.03,0.87,0.99,10.7,1008.6,0.4945,0.37,0
2020-10-09,8,1602226800,8.93,5.83,0.81,0.4,2.97,1019,0,0,0
2020-10-14,8,1602658800,11.12,8.86,0.86,0.66,7.09,1019.5,0.1618,0.16,0
2020-10-16,8,1602831600,9.05,7.27,0.89,0.92,5.09,1024.7,0.0774,0.08,0
2020-10-17,8,1602918000,9.18,7.26,0.88,1,3.2,1021.8,0.0161,0.04,0
2020-10-18,8,1603004400,8.75,6.09,0.83,0.87,2.79,1023.9,0.0172,0.04,0
2020-10-19,8,1603090800,8.56,5.96,0.84,0.98,3.67,1019.9,0,0,0
2020-10-20,8,1603177200,13.03,11.93,0.93,1,8.86,1003.3,0.0355,0.06,0
2020-10-24,8,1603522800,11.91,11.27,0.96,0.94,6.88,1007.4,0,0,0
2020-10-26,8,1603699200,9.11,8.27,0.94,0.42,6.03,998,0.0089,0.07,0
2020-10-27,8,1603785600,9.11,7.77,0.91,0.87,4.83,1001.8,0.0743,0.16,0
2020-10-28,8,1603872000,10.41,8.59,0.88,0.51,8.89,1004.1,0.0088,0.07,0
2020-10-29,8,1603958400,10.11,8.68,0.91,0.96,5.72,1015.1,0,0,0
2020-10-30,8,1604044800,14.67,13.73,0.94,0.92,9.34,1016.3,0.0075,0.03,0
2020-11-01,8,1604217600,14.14,13.49,0.96,1,10.37,1004.8,0.4968,0.72,0
2020-11-02,8,1604304000,16.32,13.66,0.84,1,14.16,1001.2,0.0583,0.08,0
2020-11-03,8,1604390400,7.96,6.1,0.88,0.94,6.43,1017.6,0.7846,0.6,0
2020-11-04,8,1604476800,4.83,2.5,0.85,0,3.01,1032.1,0,0,1
2020-11-05,8,1604563200,4.26,2.56,0.89,0.22,1.78,1040.1,0,0,1
2020-11-07,8,1604736000,8.38,7.1,0.92,0.28,2.7,1022.1,0,0,0
2020-11-08,8,1604822400,10.93,8.58,0.85,0.66,2.64,1019.1,0,0,0
2020-11-09,8,1604908800,12.19,9.6,0.84,0.81,2.92,1020.3,0.013,0.11,0
2020-11-10,8,1604995200,11.77,9.14,0.84,0.77,2.94,1023.6,0,0,0
2020-11-11,8,1605081600,11.41,10.59,0.95,0.94,5.87,1022.9,0,0,0
2020-11-12,8,1605168000,9.09,7.28,0.88,0.1,8.01,1015.3,0,0,0
2020-11-13,8,1605254400,12.51,10.47,0.87,0.56,7.92,1012.3,0.0353,0.11,0
2020-11-25,8,1606291200,9.92,7.78,0.87,0.96,6.08,1011.8,0,0,1
2020-11-26,8,1606377600,7,3.83,0.8,0.93,2.94,1021.3,0.0076,0.07,1
2020-11-28,8,1606550400,7.39,5.64,0.89,0.49,4.33,1017.9,0,0,0
2020-11-29,8,1606636800,7.79,5.93,0.88,0,3.82,1025.4,0.0112,0.05,0
2020-11-30,8,1606723200,5.32,3.87,0.9,0.63,3.67,1026.8,0,0,0
2020-12-01,8,1606809600,5.64,3.88,0.89,0.37,9.1,1023.7,0,0,0
2020-12-02,8,1606896000,2.25,1.84,0.97,0.33,3.2,1020.2,0,0,0
2020-12-03,8,1606982400,4.92,3.77,0.92,1,4.5,998.5,0.3647,0.5,0
2020-12-04,8,1607068800,3.55,2.8,0.95,0.99,6.64,974.1,0.3191,0.4,0
2020-12-05,8,1607155200,5.25,3.73,0.9,0.83,6.24,990.5,0.0163,0.06,0
2020-12-06,8,1607241600,5.93,3.41,0.84,0.98,4.55,1000.8,0.2415,0.27,0
2020-12-07,8,1607328000,0.94,0.85,0.99,0.78,3,999.2,0,0,0
2020-12-08,8,1607414400,2.54,1.48,0.93,0.96,2.15,1002.7,0.1081,0.24,0
2020-12-09,8,1607500800,4.71,3.88,0.94,0.95,5.43,1007.6,0.0517,0.25,0
2020-12-10,8,1607587200,5.03,3.71,0.91,0.64,5.46,1000.5,0.0156,0.06,0
2020-12-12,8,1607760000,7.19,5.97,0.92,0.86,4.11,995.3,0.0079,0.13,0
2020-12-13,8,1607846400,4.64,3.46,0.92,0.98,3.83,1006.9,0,0,0
2020-12-14,8,1607932800,10.61,9.2,0.91,0.77,7.78,1000,0.0672,0.1,0
2020-12-15,8,1608019200,8.08,7.04,0.93,0.99,3.91,1005,0.0055,0.1,0
2020-12-16,8,1608105600,8.12,5.59,0.84,0.99,8.34,1009.5,0,0,0
2020-12-17,8,1608192000,7.62,4.93,0.83,0.08,5.66,1014.2,0,0,0
2020-12-18,8,1608278400,9.67,9.2,0.97,0.99,9.69,1013.4,0.101,0.12,0
2020-12-19,8,1608364800,9.71,9.62,0.99,0.99,8.23,1004.3,0.3225,0.52,0
2020-12-20,8,1608451200,8.32,7.59,0.95,0.97,6.59,1011.6,0,0,0
2020-12-21,8,1608537600,8.68,8.11,0.96,1,10.44,1009.1,0.782,0.88,0
2020-12-22,8,1608624000,10.83,10.32,0.97,0.99,4.67,1011.5,0.0664,0.15,0
2020-12-23,8,1608710400,10.57,10.52,1,1,3.84,1006.9,0.68,0.63,0
2020-12-24,8,1608796800,5.06,2.89,0.86,0.69,11,1017,0.0159,0.06,0
2020-12-25,8,1608883200,1.92,0.53,0.91,0.47,7.37,1030.4,0,0,1
2020-12-26,8,1608969600,3.89,3.25,0.96,0.88,6.85,1022,0,0,0
2020-12-27,8,1609056000,7.76,7.06,0.95,1,10.15,975.6,1.196,0.66,0
2020-12-28,8,1609142400,1.16,-0.32,0.9,0.38,1.95,973,0,0,1
2020-12-30,8,1609315200,0.37,-1.5,0.87,0.83,4.34,1002.5,0,0,1
2020-12-31,8,1609401600,-1.15,-3.14,0.86,0.6,4.34,1003.4,0,0,0
2021-01-01,8,1609488000,-0.33,-2.31,0.86,0.72,2.78,1010.8,0,0,0
2021-01-02,8,1609574400,2.31,1.4,0.94,0.97,5.48,1015.4,0.032,0.13,0
2021-01-03,8,1609660800,3.48,2.55,0.94,1,5.3,1015.7,0.0645,0.21,0
2021-01-04,8,1609747200,4.82,3.69,0.92,0.97,9.88,1018.2,0.4975,0.45,0
2021-01-05,8,1609833600,4.07,3.36,0.95,0.97,7.36,1019.1,0.5376,0.55,0
2021-01-06,8,1609920000,4.58,3.95,0.96,0.9,4.78,1019,0.3308,0.6,0
2021-01-07,8,1610006400,0.4,-0.56,0.93,1,4.21,1018,0,0,1
2021-01-08,8,1610092800,-1.93,-3.35,0.9,0.94,1.59,1016.9,0,0,1
2021-01-09,8,1610179200,2.34,1.07,0.91,0.28,3.82,1025.1,0,0,0
2021-01-10,8,1610265600,-0.72,-2.51,0.88,0.23,3.82,1025.6,0,0,1
2021-01-11,8,1610352000,2.33,1.21,0.92,0.75,5.73,1020.3,0,0,0
2021-01-12,8,1610438400,7.11,5.94,0.92,1,5.01,1010.4,0.1313,0.51,0
2021-01-13,8,1610524800,1.89,-0.74,0.83,0.95,2.83,1019.9,0.2067,0.12,0
2021-01-14,8,1610611200,5,4.39,0.96,1,7.93,1016,1.1574,0.79,0
2021-01-15,8,1610697600,2.99,1.27,0.88,0.76,4.75,1028,0.0427,0.12,1
2021-01-16,8,1610784000,2.09,1.02,0.93,1,6.7,1024.1,1.0182,0.59,1
2021-01-17,8,1610870400,3.35,2.21,0.92,0.35,6.38,1021.5,0,0,0
2021-01-18,8,1610956800,3.26,1.34,0.87,0.73,5.12,1024.2,0,0,1
2021-01-19,8,1611043200,9.75,8,0.89,1,9.82,1006.2,0.0132,0.13,0
2021-01-20,8,1611129600,9.28,7.64,0.89,1,11.44,992.8,0.2411,0.33,0
